,Artist,genre,gender,top15words
Aaliyah,Aaliyah,pop,female,im tell somebody feel go cause really say coast boy nobody know gotta right now tell talk yeahyeahyeahyeahyeahyeahyeah whats need yo cause got help dont nigga love ooh oh make let know feel need find best love tell youre positive motivating force within life wonder im without lost needing wondering youre still wanna miss long gonna said wanting whos heart nothin aint thing age number never change itll throwin lovin let got know gotta dont love baby one give anything million goes really good feelin day long need want dont work stroke rock boat middle position baby new yeah now mmm change ooh oh want step try dust first dont huh time left succeed yeah long shouldnt without dope beat ill lover woman thing enough youre ready dont think go even covers feel tempt try without dont wanna go live cant alone said feel back way yeah made vowed always back forth see let now check go liyah keep come grooving dont move alright stop let know baby talk care wanna comfort hold yeah oh hey stay strong need come better write im letter time sending four page enclosed kiss always love told say writing come see oh wanna baby stop tonight im youre ooh yeah touched know late callin supposed change know im tired need let girl hurt resolution youll will whats oh cut turn dont yeah know boy let yah moment come said want gotta im fool suppose sayin probably girl knew leave alone gone huh ha shed glad yeah unplug phone oh one tell love heart gave understand oh yeah break world wont somebody say hey bad make dog go back know one promise piece shit got home needs bitch come im see love poison eye heart feel went wrong along hey time given take sometimes feeling
Beyoncé,Beyoncé,pop,female,love night im want drinkin baby right ive drunk cant keep nana shit boy lights slay okay cause im take go let oh might hard ladies now formation baby gon girl liquor yoncé lookin babe take wanna mouth le kind hey tell baby beyoncé partition halo feel see im ooh baby youre never now even everywhere lookin surrounded embrace know id cause boy wanted think understand girl granted dont feels love better man listen know youre mine girl good wanna know little im one got pull roll big time song love dont whats hold slow crazy theres back step cant see man wicked way treat sorry aint bout thinking bye boy nah middle fingers tell now good nigga put call catch pray whispering im whisper listening prayin taste dishonesty breath pass cavalier even thats test love night long kiss rub feel sweet touch true im oh many people know theyre flawless goddamn bow comin im girls woke right bitches ground good drippin candy dont say freedom ima im cause tell running away yeah dont rain new truth fall oh move hurt let dont na love boy im got fuck enough oh aint ass god baby keep cherry turn dont til yeah stop want comin goin hummin moanin lovin mornin flavor baby rock bad deep wanna right peak love til skin feel dont hard steady let im listen now ive dont find oh will home tried know wont done believin feelin every promise dont work way away oh baby walked promised couldnt stay babe built sandcastles side smack hands air clap spinnin im man ya dice wave put care foot kick work money worth every friday come back oh dollar grind goddamn six inch heels walked youre im ten times nine stop love drought trying care feel will know lifeline tryna
Britney Spears,Britney Spears,pop,female,baby oh still believe know loneliness killin must confess now give sign hit one time im youre toxic now taste dont know cant lips ride slippin poison paradise addicted lovin work bitch better now higher want ya wanna hot live big ahah comes keep moving yeah im baby oops oh think got heart lost game sent innocent played love might la oh baby see love hate amy lala seek cant say want boys girls begging see every time guess need baby without face try fly fall wings feel small dreams cry lucky shes come theres nothing missing life tears night girl star cries lonely heart gimme mo danja keep ah rocking oohoohooh oohoh ahahah watching one feel give britney see ooh make yeah go youre im tonight way want sensational let cause oh tell move womanizer know youre dont boy try front ii aare got baby oh youyou crazy cant counting got im caught peter paul mary getting 3p everybody loves ooh oneeighty degrees say circus im everybody make show dance floor let dont go ones call shots feel ready love hes mama know dont oh bum gun im criminal type isnt rational physical please piece want im mrs oh yeah extra shes now lifestyles rich famous god britneys shameless m wanna oh t feel dance slave go don yeah baby tryna whoa really know go slumber party crazy make one hanging videos aint gonna sleep got candles ceiling low sometimes really want day night hold tight im treat right run hide scared ill wanna moon come difficult invisible love night cry patience darling wait darkness alive ive right dreaming let see take wanna people dance ya hey zone ima round grab britney crowd night dont prerogative thats live oh tell make say im everybodys talkin stuff let need permission
Carly Rae Jepsen,Carly Rae Jepsen,pop,female,call maybe heres number missed bad youre baby hey met crazy way came life hard really want oh yeah need tell something say m head re touch much know love run away hey oh ill go wanna baby lights ooh feelin take yeah stuck sinner wanna cut yeah feeling oh take way want play ahahah hey clouds dance roof woo emotion feel fantasy dream forget ten feet turn right let cant tall wont lights babe na got problems boy know em ive dont broke boyfriend worse yeah outside whos think im time type girl love friend call sorry mean break ill make miss say head back beat dont care one ahh party im love ill dance making want say tried im much feel love cause know now party thinking drinking dancing ddown ill anything rush julien yeah last breath breathe ive night ill whispering coming home fantasy end ah every want dont hey wanna little bit closer room window ill press pages heart baby im will show want friend im let arms wanna care one ill need play youre best warm blood falling catch im control feel keep anymore heart good cant sweet one stop im probably gonna hurt boy got house feelings number beach malibu ive around world want hijack come ill know night making time youve rough love getcha oh imma dont now make ill eyes open love hold head aint tried drug feel blossom tell truth mouth now found dont alive say nothing baby think im coming theres feeling want hurts mmm im say la planes hopping cards dropping shop fill theres little black hole golden cup la everywhere theres look go heart face youre somebody hand hold onto dont needs know gimmie love want cause think oh touch much fall please two need forever know still
Charli XCX,Charli XCX,pop,female,boy bout busy thinkin im dont mad dreamin head spinnin em one missed need want boom clap come feel good sound heart beat goes make now youre love pictureperfect blue vroom ride let catch good time know cant beep life ive waitin boom zoom bitches yeah gonna love lil boat drop afterparty keep cause oh might monday sunday stay til lock unlock locklock propane got kiss hard right key yeah im beautiful want ride eyes love ill forever know front mind will always youre head knowi future wont see drove everything know dont yeah hold back cause wanna party time hop inside woo high roller got yeah todos querem sim chamam de queen hoo brooke candy cupcakke real não charli click charli clique want yeah oh fuck bitch im pull pic cheers glass cash register blame love yeah every time fuck cant know im run say dont back help stop dont pull roll im fuck future never know level fast nascar touch us got visions shake ooh ass pussy im dont baby sh bout eu make shakin move em oh love blame cant every time fuck help stop xcx charli run say back sorry yeah yeah things done ive hope lost forgive reply sign night feel crying sorry ve uh ones let good always better go ive want theyre baby couldnt loved doin known gooohoohoohoohoohoohoohooh party threw come watch hopin true im yeah waiting hope know oh pink balloons favorite dont deserve love know ahah hurting youre always back hate ill say nothing youll never lipgloss drip oh damn keep thats flavour mhmm stickyicky slick charli yeah good hey bring go bump highway turn volume forever speedin rave never put hands look charli hard fast head please im need wanna yeah fuck got doin stupid shit secretly though dont learn
Dua Lipa,Dua Lipa,pop,female,dont got new count em tell rules know let friend youre hes gotta love one dont now come walk away wanna show start im caring see bout know left dancing dont cause give now boy fuck cut need love well im think ive want ill yeah im youre levitating moonlight dance tonight away need baby starlight night come fly take im mwah mind guaranteed blow dont tonight alive aint dollar sign cant tell tame way stayed home cause one falling break heart love now wouldve go better alone said hello one oh baby let youre see gone wrong wont run come cause moon fool know come physical got lets dont agree know keep baby dancing hold night ill riot back lets say good youre end go sleeping cocaine separate ways wont meant least agree gonna know go wish im give something reason believe meaning breathe bittersweet feeling longing leaving oh love got cant believe goddamn never anymore thought used lalala id heart theres something left im hell hotter hey make right yeah youre feel cause heaven ill give cant let will boys girls women cause kids aint alright oh theres saying youre funny ah stop cant stop thinking bout ive wont high want say time later stronger deeper memories neighbors bad mad make head thats us good know bed drive baby think really might please pretty please need mind yeah help gonna youre feel put ease hands sweet relief oh beginning go back im sorry need got ive dont tell wanna night love dying rush future nostalgia sound cant way know hey aint want name youre keep im gonna dying night baby light wanna lost im stay right let hold alright trust love babe dont go come houdini catch way im long need got tell prove right please everybody knows
Madonna,Madonna,pop,female,prayer take voice ill dream yeah feel call name im oh mystery hear little knees material world living boy girl know right cause thats theyre dont cant see let may ahah eyes la isla bonita sun spanish lullaby te tropical island breeze nature wild free vogue go let music hey body flow know move come life thats beauty strike pose virgin whoa made feel yeah time mine love beat first youre touched heart next cause mmmmmm heart youre melt see want open wed never apart give hold key frozen eyes im slowly waiting hung time goes every little thing call fed tired day say baby im bitch madonna go cause hard home gon night gonna long freaky want think bad im dont papa preach baby ooh trouble deep ive losing sleep keep know right daddy yeah boy youve got love groove prove feet step beat will im dancing know now four minutes fikki tick tock got time im outta keep aye want uh yeah waiting music boogiewoogie wanna hey mr dj acid rock put record dance baby never makes people make express love know got hey baby youve youll best feel come dont go second cause world beautiful im concerned hmm life dream dress keep shame obsessed fame much pain wake make lost god control s everybody knows don t new damn truth think give feel got shes light quicker ray universe home gone flying zephyr sky night wonder tears dont im gonna fast give live moving say gotta ten fire thats okay care people crazy im youll feel know true brand new kiss two touch never wanted anyone see give love gimme im lovin dont luv wanna time madonna lets game got cause different sorry ive heard dont wanna hear know please say take youre forgive care seen cant
Michael Jackson,Michael Jackson,pop,male,one billie jean lover uh girl son baby kid hoo says dont shes oh yeah annie okay ow struck hoo came ran dont know dag gone window sound crescendo apartment ma yeah sa youre se coo startin somethin vegetable said got high wanna low stuck dont say really care wanna us everybody dead gone hoohoo skinhead head never want mad thriller night tonight ooh thrill gonna im close youre cause killer babe oh see try change make man im hoo yeah mirror got know gonna ways starting place take look way say tell human nature oh shes giving keeping around em looking across nighttime city beat whos right wanna one wants defeated showin funky strong fight doesnt matter wrong better yeah youre black white dont alright baby thinking matter aint now hoo tired scared aouw diana dirty cmon hey baby wont said shes im every saying thats want oh come better place make world enough living heal care children people dying entire human race theres bad really im know ah tell right shamone world whole answer now youre hoo gon dont stop keep force til enough ooh love power now oh baby darlin yeah know us ooh hoo ah ahah oohooh stop notice weve crying said cant man things fields rock night wanna sunlight away girl groove feel love dance day heat beat gonna yeah pyt lovin take want tlc pretty young thing love ill baby need tender care ha feel way make really turn knock feet lonely days gone baby girl aint nobodys business alone lone youre though far away always heart stay apart day whisper ill say every remember time love fell girl oh tat back wed first met til baby hoo know world rocked girl know love think give whod id find everything rarest someone call mine
Olivia Rodrigo,Olivia Rodrigo,pop,female,cause now drive im know past werent never way cant said forever alone street still déjà vu shes know tell bet youre reused think now oh malibu strawberry ice cream good guess well really youre ive maybe cared never ah baby im emotional girl look look made sold cause think way oh lie ive real big mistakes make worst one hope youre happy know find dont someone one better shes im selfish cant let go want guy love hes last say day held perfect im wont much ask something wrong didnt yeah way youre still talked aint funny know traitor betrayed youll never feel sorry back want wanna make oh really miss got im another cause yeah ill said hes ive tried im try dont know tough say takes strength forgive still everything think care oh lacy try care thing ooh skin arent sweetest angel eyes well one lately people im wish brutal yeah dont ego god hate want might start new cause one time things favorite crime call mine well hope cause know heart broke crossed loved bad let im know time got perfect allamerican light grateful feather make forgive forget age act cant jealousy rather anyone im know think see dont sick oh cant comcomparison killin slowly much step back one forward three boy love dont understand hate forth always want today im ah social suicide oh im made know lalalalalala dont outside broke glass tripped fell told makin bed whos im another thing feel head well away good sometimes dont wanna every blah cant probably right know thoughts seeing tonight im hear bad idea friend yes hes logical love never two im dont oh cause know god now thinkin plus equals five hope youre cause know okay parents good dont proud created courage unlearn hatred nothing knew
Taylor Swift,Taylor Swift,pop,female,remember well cause im wind hair stairs rare oh sacred prayer us maybe bout still knew youd young assume know nothing come back kiss felt old cardigan someones bed put sign never gave didnt warning many around think ive seen film now im time things take go lover forever youre always close ah home place make twenty want every well never wouldve know one time something dont think defense none alone fun im shit hit oh uhhuh see lord dream baby come whispered think flashin lights lets fast forward three hope never mine cause us see august away back call remember plans case youd lost made look dont ooh trust nobody got time oh check ill actress starrin bad dreams know time betty thing showed party will garden im miss worst summer seventeen dont anything yeah oh summer im ooh woahoh cruel want youre right roll keep night know waiting champagne problems reason made youre dropped hand dancing standing crestfallen landing moms ring pocket picture im hi problem everybody agrees never ill time teatime stare directly sun mirror must exhausting im love tell got insane cause gonna mm long list exlovers theyll game oh know go never got style cause time back come crashing every oh heard eye girl home youre losin stop cause say wont something heart start anymore dont know cant now im watch tell tolerate sit head im now much ive got wrong somehow know love celebrated go im didnt cursing name wishing stayed grace youre look tears ricochet want gather worst wanna end game big reputation dont ateam ooh first string yeah got im ah heard ohoh need calm youre im loud stop somebody know oh step gown dont say street let games begin night dreams baby see know middle time never im ready go low
Black Sabbath,Black Sabbath,rock,male,think things will help mind find life cant make happiness finished woman cause couldnt people iron man nobody will head time wants vengeance now lost mind see blind walk moves war yeah minds masses bodies burning turning death oh lord power judgment day pigs god love now im going feel oh yeah please will follow regret leaving life led met people black round oh satans higher please stands figure points turn quick start run find fool oh youre heaven hell well life yeah tell answer dancer bleed sing song singer change im going feel ive now go shared years day love way unhappy sad lost night silver eye sail endless skies stars shine black sighs moon dreams pours beams light know turn lies dont tell youre mind run nobody will let ask reasons fill head oh yeah now love sweet leaf alright life try cant know come baby coughing wont saw yeah boots fairies wear gotta believe alright now tell lies two eyes son goin children world live grave yeah today fight love tomorrow will peace must revolution minds start electric funeral sky burning turn earth atomic radiation minds robot wing fall hell reflex warn now know dont youre turn needle life mind time death starts gonna take push things feel don t sun see come happy ice soon will makes snowflakes let winter right god dead will head blood rain turns red run don t believe darkness light give little bit strong cause now born without baby feelings love alone never ive got ya away gone went nothing go crying name means fortune less future shrouded dark wilderness sunshine wizard never talking keeps walking spreading magic clouds walks happy people misty morning sky without earth freedom rocket engines burning leave fuel fast sky man pollution land yeah hate sun
Deep Purple,Deep Purple,rock,male,smoke water place fire sky time burned ground running know came montreux lake geneva shoreline guess ill always soldier fortune day songs sound windmill going around feel im growing older oh aaahaaahaaah uhhhuhhhuhhh aaahahah help see line bad flying youve uhhhuhuh uhhhuhh ahhhahhhahhh ooohhhh aaaaaahhhhh ah life ohohoh oh must remain remember thousand cold spirits echo hear talking wind youve gonna im nobody everything highway star got take car ooh love need alright hold tight nanana love hush nananana now got shes thought heard calling name need gotta loving im burn still came one know time people woman hear sky red dont understand past midnight im blind man room aint cries lord know cold youre leaving close door expecting people got woman kind loved want need near strange said think superstar tried spent money took knocking door now know us feel sweet lucy none cant deny smile face kill thrill yeah come space truckin lets go way around got rocked milky danced borealis round stars black night way free dont maybe ill find line im long home cant feel need dont want youre lazy stay bed money bread drowning clutch straw aint done good live way babe see im may bring got dont oh yeah roll eyes purse lips throw im speed king oh little yeah gotta hear singing see rocking gonna take cause fly coming way stormbringer hes cause running got thunder rainbow sky nowhere driving rain dance dark body im alone emptiness eagles snow unfriendliness chilling pictures home somebodys shouting mountain words return maybe now wish im creeping round door got big surprise couldnt see thing open skies youre way long oh love magic wonder golden soul know light shows eye bewitches gaze ive baby losing know oh mistreated woman cause yes left mind abused confused looking babe
