,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image,gender,genre
0,Al Green,Let’s Stay Together,Let's Stay Together by Al Green,,1971.0,11.0,,279512,https://genius.com/Al-green-lets-stay-together-lyrics,0,1,3, lets stay together  i im so in love with you whatever you want to do is alright with me cause you make me feel so brand new and i want to spend my life with you  let me say that since baby since weve been together ooh loving you forever is what i need let me be the one you come running to ill never be untrue  ooh baby lets lets stay together lovin you whether whether times are good or bad happy or sad ooh yeah whether times are good or bad happy or sad  why somebody why people break up turn around and make up i just cant see youd never do that to me would you baby just being around you is all i see its what i want to do you might also like lets we ought to stay together lovin you whether whether times are good or bad happy or sad  cmon lets lets stay together ill keep on lovin you whether whether times are oh times are good or times are bad,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
1,Al Green,Love and Happiness,Love and Happiness by Al Green,1972-10-23,1972.0,10.0,23.0,74572,https://genius.com/Al-green-love-and-happiness-lyrics,0,1,2, love and happiness yeah something that can make you do wrong—make you do right yeah hmmmmmm love  love and happiness but wait a minute somethings going wrong someones on the phone three oclock in the morning yeah talkin about how she can make it right yeah well happiness is when you really feel good about somebody theres nothing wrong being in love with someone yeah  oh baby love and happiness love and happiness yeah love and happiness love and happiness ohh ohh you might also like  have to say love and happiness love and happiness yeahh love and happiness love and happiness  you be good to me ill be good to you well be together yeah well see each other walk away with victory yeah yeah  oh baby love and happiness love and happiness ohh love and happiness love and happiness ohhh heh heh heh  make you do right yeah lovell make you do wrong yeah make you come home early ohh make you stay out all night long the power of love wait a minute let me tell you about the power the power of love yeah yeah yeah power power make you do right yeah lovell make you do wrong huh yeah lady love and happiness lady love and happiness see love love and happiness love and happiness  make you want to dance love and happiness eh heh love is wait a minute love is heh heh walkin together heh heh talkin together say it again say it together girl say it one  hmmmm moan for love say hmmmmm a moan for love say hmmmmmmmmmm a moan for love,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
2,Al Green,How Can You Mend a Broken Heart?,How Can You Mend a Broken Heart? by Al Green,1972-01-31,1972.0,1.0,31.0,72266,https://genius.com/Al-green-how-can-you-mend-a-broken-heart-lyrics,0,1,3, i can think of younger days when living for my life was everything a man could want to do  i could never see tomorrow i was never told about the sorrow  and how can you mend a broken heart how can you stop the rain from falling down tell me how can you stop that old sun from shining what makes the world go round and how can you mend this broken man yeah how can a loser ever win somebody please help me mend my broken heart and let me live again lala lala la  i can still feel the breeze that rustles through the trees and misty memories of days gone by  but we could never see tomorrow would you believe that no one no one ever told us about the sorrow you might also like so how can you mend a broken heart and mine is how can you stop the rain from falling down baby how can you stop that old sun from shining what makes the world go round and sometime i have to say yeah say lalala lalala uhhuh yeah lalalalalalalalalalalalalalalalalala tell me help me mend my my broken heart i just wanna i just wanna i just wanna i just wanna i just wanna live again baby how can you mend oh yeah this broken man yeah somebody tell me how can a loser ever win baby cause baby help me mend my this old broken heart i think i i know i i believe i i feel i i feel like i got to i feel like i wanna live again how can you mend this broken heart somebody please tell me how can you stop the rain from falling down i know my clothes are all wet tell me how can you mend my please help me mend my broken heart i think i i believe i ive got a feeling that i want to live and live and live  lalalalalalalalalalalalalala lalala la yeah,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
3,Al Green,Tired of Being Alone,Tired of Being Alone by Al Green,,1971.0,,,51103,https://genius.com/Al-green-tired-of-being-alone-lyrics,0,1,1, sweet baby  im so tired of being alone im so tired of onmyown wont you help me girl just as soon as you can  people say that ive found a way to make you say that you love me hey baby you didnt go for that its a natural fact that i wanna come back show me where its at baby  im so tired of being alone im so tired of onmyown wont you help me girl soon as you can  i guess you know that i uh i love you so even though you dont want me no more hey hey hey hey im cryin tears all through the years ill tell ya like it is honey love me if you will you might also like yeah baby tired of being alone here by myself now i tell ya im tired baby im tired of being all wrapped up late at night in my dreams nobody but you baby sometimes i wonder oooooh if you love me like you say you do you see baby i been thinkin about it yeah i been i been wantin to get next to you baby ya see sometimes i hold my arms i say mmmm hmmm hmmm oooh yeah baby meeting you has proven to me to be my greatest dream yeah  tired baby yeah you dont know what im talkin about sometimes late at night i get to wonderin about you baby oh baby baby im so tired of being alone im so tired of being alone im so tired of being alone…,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
4,Al Green,Take Me to the River,Take Me to the River by Al Green,1974-10-02,1974.0,10.0,2.0,40948,https://genius.com/Al-green-take-me-to-the-river-lyrics,0,1,2, id like to dedicate this song to little junior parker a cousin of mine whos gone on but wed like to kinda carry on in his name i sing  i dont know why i love you like i do after all these changes that you put me through you stole my money and my cigarettes and i havent seen hide nor hair of you yet  i wanna know wont you tell me am i in love to stay  take me to the river and wash me down wont you cleanse my soul put my feet on the ground  i dont know why she treated me so bad look at all the things that we could have had love is a notion that i cant forget my sweet sixteen i will never regret  i wanna know wont you tell me am i in love to stay you might also like  hold me love me please me tease me till i cant till i cant cant take no more  take me to the river  i dont know why i love you like i do after all the things that you put me through the sixteen candles are burning on my wall turning me into the biggest fool of them all  i wanna know cant you tell me am i in love to stay  i wanna know take me to the river i wanna know want you to dip me in the water i wanna know wont you wash me in the water wash me in the water wash me in the water wont you wash me in the water feeling good,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
5,Al Green,I’m Still in Love with You,I’m Still in Love with You by Al Green,,1972.0,8.0,,25982,https://genius.com/Al-green-im-still-in-love-with-you-lyrics,0,1,3, spending my day thinking bout you girl being here with you being near with you i cant explain myself why i feel like i do like i do though it hurt me so to let you know that i look in your eyes to let me know how you feel let me know that love is really real well it seems to me that im wrapped up in your love  dont you know that im still in love still in love in love with you shonuff in love with you yeah hey heaven knows that im still in love still in love in love with you shonuff in love with you hey  hey when i look in your eyes and all all the years i see i see me lovin you and you lovin me well it seems to me that im wrapped up in your love you might also like dont you know that im still in love still in love in love with you shonuff in love with you hey ahha ahahah ahha ahha dont you know that im still in love still in love in love with you shonuff in love with you  hey ill try it if you want me to still in love in love with you ahha ahha ah ahahah ahha ahha,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
6,Al Green,For the Good Times,For the Good Times by Al Green,1972-10-23,1972.0,10.0,23.0,20119,https://genius.com/Al-green-for-the-good-times-lyrics,0,1,1, dont look so sad i know its over but life goes on and this world keeps on turning yeah lets just be glad we had this time to spend together there is no need to watch the bridges that were burning  lay your head lay your head upon my pillow sweet baby hold your warm and tender body close to mine hear the whisper of the raindrops rolling softly against my window yeah oh late at night make believe you love me one more time for the good times for the good times  ill get along and im sure youll find another but baby please remember ill be here ill be here im gonna stay right here if you should find you ever need me yeah dont say a word about tomorrow or forever and ever and ever and ever therell be time enough for severance when you leave me yeah for the good times yeah for the good times  lay your head lay your head upon my pillow oh just this one time girl one time hold your warm and tender body close to mine yeah oh baby wont you hear the whisper hear the whisper of the raindrops of the raindrops rolling softly softly against my window all you gotta do is make believe all you gotta do is make believe you love me one more time for the good times yeah baby for the good times and heres what you oughta do is lay your head upon my pillow i just wanna hold your warm and tender body close to mineyou might also like,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
7,Al Green,Simply Beautiful,Simply Beautiful by Al Green,1972-10-23,1972.0,10.0,23.0,19885,https://genius.com/Al-green-simply-beautiful-lyrics,0,2,1,if i gave you my love i tell you what id do id expect a whole lotta love outta you you gotta be good to me im gonna be good to you theres a whole lotta things you and i could do hey hey hey hey hey simply beautiful simply beautiful simply beautiful simply beautiful simply beautiful simply beauti simply beautiful simply beautiful simply beautiful simply beautiful what about the way you love me and the way you squeeze me hey hey simply beautiful hey you might also likeand when you get right down it and the love is getting you through it simply beautiful ,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
8,Al Green,Dream,Dream by Al Green,,1977.0,,,12692,https://genius.com/Al-green-dream-lyrics,0,1,1, dream that there will come a day dream that the lord will make her wake dream dream dream wake up early and dream the stars down from the sky dream without knowing the reason why just dream just dream oh dream  what i wanna do is make it last forever make it last forever make it last forever make it last forever make it last forever make it last forever make it make it make it make it oh  dream just dream we can make it all come true let me say this one thing you might also like dream dream im the one that you know dream a new and different stroke just dream dream we can make it all come true i wanna know i wanna take me with you  make it last forever make it last forever make it last forever take me along with you while you make it last forever in a dream you can make it oh i wanna go with you make it last forever make it last forever make it last forever i wanna i wanna i wanna i wanna i wanna  dream just dream we can make it all come true everybody likes to everybody wants to dream sometime dream shh oh dream shh dream dream we can make it all come true dream dream shh wontcha dream dream the stars are shining bright dream let your mind and you heart just melt melt melt melt like ice ooh ooh  dream dream just dream we can make it all come true  dream dont take it lord just dream we can make it all come true dream just dream we can make it all come true dream dream dream dream just dream we can make it all come true dream just dream,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
9,Al Green,Everything’s Gonna Be Alright,Everything's Gonna Be Alright by Al Green,,1987.0,,,9985,https://genius.com/Al-green-everythings-gonna-be-alright-lyrics,0,2,2, dont let this world mislead you dont you ever go astray trust in gods word and believe it cause itll never pass away we will see him in his glory riding on the clouds of joy greeting us with open arms and peace forevermore  i know that everything is gonna be alright hes coming back like he said he would yeah yeah its gonna be alright hes coming back for the true and good  now when the sky is darkened there will be no moonlight well know the time has finally come and hell change the wrong to right so if youre always searching trying to find the bottom line just give your love and life to god hell give you a peace of mind  i know that everything gonna be alright hes coming back like he said he would i said yeah yeah its gonna be alright hes coming back for the true and good play it everything is gonna be alright hes coming back just like he said he would yeah yeah its gonna be alright hes coming back for the true and good you might also like i wanna be ready i gotta be ready i wanna be ready gotta be ready for the peace love and happiness hes coming back like he said he would get ready for peace love and happiness hes coming back for the true and good  we know hes the beginning and we know that he is the end theres no one better if you really need a friend so dont you ever worry cause he gave the guarantee that hell return to take us home and fulfill the prophecy  i know that everything is gonna be alright hes coming back like he said he would get ready for peace love and happiness i know hes coming back just like he said he would peace and love and happiness i know hes coming back for the true and good everything gonna be alright hes coming back like he said he would yeah yeah its gonna be alright hes coming back for the true and good,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
10,Al Green,Here I Am (Come and Take Me),Here I Am (Come and Take Me) by Al Green,,1973.0,4.0,,8943,https://genius.com/Al-green-here-i-am-come-and-take-me-lyrics,0,1,2, i cant believe that its real the way that you make me feel a burning deep down inside a love that i cannot hide  our love is you and me baby that make the world go round and if keeping you and loving you means laying all my troubles down  here i am baby come and take me here i am baby wont you come and take me take me by the hand yeah show me here i am baby  it always ends up this way me begging you every day a love that i cannot have you broke my heart into half  our love is you and me baby that make the world go round keeping you and loving you means laying all my troubles down you might also like here i am baby come and take me here i am baby wont you come and take me take me by the hand yeah squeeze it here i am baby  when im down i can always call you for a helping hand i know youll do the best you can but it dont take much for me before my cup runs over all this loves inside of me i believe theres going to be an explosion yeah you can talk to me oh baby im in no hurry tell me all your troubles and you wont ever have to worry no and one more thing you just cant trust everybody everybody you see no no youll find yourself lost and alone on a darkened street  here i am baby come and take me here i am baby would you come and take me take me by the hand show me hey hey take me hey hey show me wont you here i am baby hey hey take me wont you teach me baby wont you take me by the hand teach me here i am baby,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
11,Al Green,Ride Sally Ride,Ride Sally Ride by Al Green,,1970.0,,,8255,https://genius.com/Al-green-ride-sally-ride-lyrics,0,2,1, yeah again  sally was a girl that lived in memphis was down on all the latest dances i found the groove and sally start to move and all the guys taking chances and everybody would say  ride sally ride all you gotta do wipe your weepin eyes tell you just shake it to the east now baby yeah just shake it to the west now baby hey baby just shake now shake it shake shake it yeah  sally would dance all night long this is what i say to you yeah how we fly we doin till we die we dancin till the night is through everybody sing  ride sally ride oh make me feel good wipe your weeping eyes all you gotta do is shake it to the east now baby id keep on sayin shake it to the west now baby gettin good i said you might also like shake it shake it babe shake it yeah shake it yeah early in the morning yeah in the evenin go on and shake it hey hey baby  ride sally ride lord have mercy wipe your weeping eyes go on and get it get it ride sally ride,https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg,male,soul
