,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image
0,Al Green,Let’s Stay Together,Let's Stay Together by Al Green,,1971,11,,279512,https://genius.com/Al-green-lets-stay-together-lyrics,0,1,3,"39 ContributorsLet’s Stay Together Lyrics
Let's stay together

I, I'm so in love with you
Whatever you want to do is alright with me
'Cause you make me feel so brand new
And I want to spend my life with you

Let me say that since, baby, since we've been together
Ooh, loving you forever is what I need
Let me be the one you come running to
I'll never be untrue

Ooh, baby, let's, let's stay together
Lovin' you whether
Whether times are good or bad, happy or sad
Ooh, yeah
Whether times are good or bad, happy or sad

Why somebody, why people break up
Turn around and make up, I just can't see
You'd never do that to me, would you baby?
Just being around you is all I see, it's what I want to do
You might also like
Let's, we ought to stay together
Lovin' you whether
Whether times are good or bad, happy or sad

C'mon, let's, let's stay together
I'll keep on lovin' you whether
Whether times are, oh times are good or times are bad19Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
1,Al Green,Love and Happiness,Love and Happiness by Al Green,1972-10-23,1972,10,23,74572,https://genius.com/Al-green-love-and-happiness-lyrics,0,1,2,"16 ContributorsLove and Happiness Lyrics
Love and happiness
Yeah
Something that can make you do wrong—make you do right
Yeah, hmmm-mmm
Love

Love and happiness
But wait a minute, something's going wrong
Someone's on the phone
Three o'clock in the morning, yeah
Talkin' about, how she can make it right, yeah
Well, happiness is when
You really feel good about somebody
There's nothing wrong
Being in love with someone
Yeah

Oh, baby
Love and happiness
(Love and happiness) yeah
Love and happiness
(Love and happiness), ohh ohh
You might also like

Have to say
Love and happiness
(Love and happiness) yeahh
Love and happiness
(Love and happiness)

You be good to me
I'll be good to you
We'll be together, yeah
We'll see each other
Walk away with victory, yeah
Yeah

Oh baby
Love and happiness
(Love and happiness) ohh
Love and happiness
(Love and happiness) ohhh
Heh heh heh

Make you do right, yeah
Love'll make you do wrong, yeah
Make you come home early, ohh
Make you stay out all night long
The power of love
Wait a minute
Let me tell you about the power
The power of love, yeah yeah yeah
Power
Power
Make you do right, yeah
Love'll make you do wrong, huh, yeah
Lady
(Love and happiness)
Lady
(Love and happiness)
See love
(Love and happiness)
(Love and happiness)

Make you want to dance
Love and happiness, eh heh
Love is, wait a minute
Love is, heh heh
Walkin' together, heh heh
Talkin' together
Say it again
Say it together, girl
Say it one 
Hmmmm
Moan for love, say
Hmmmmm
A moan for love, say
Hmmmmmmmmmm
A moan for love6Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
2,Al Green,How Can You Mend a Broken Heart?,How Can You Mend a Broken Heart? by Al Green,1972-01-31,1972,1,31,72266,https://genius.com/Al-green-how-can-you-mend-a-broken-heart-lyrics,0,1,3,"28 ContributorsHow Can You Mend a Broken Heart? Lyrics
I can think of younger days when living for my life
Was everything a man could want to do

I could never see tomorrow
I was never told about the sorrow

And how can you mend a broken heart?
How can you stop the rain from falling down?
Tell me, how can you stop that old sun from shining?
What makes the world go 'round?
And how can you mend this broken man? Yeah
How can a loser ever win?
Somebody please help me mend my broken heart
And let me live again, la-la, la-la, la

I can still feel the breeze that rustles through the trees
And misty memories of days gone by

But we could never see tomorrow
Would you believe that no one, no one ever told us about the sorrow?
You might also like
So how can you mend a broken heart? And mine is
How can you stop the rain from falling down? Baby
How can you stop that old sun from shining?
What makes the world go 'round? And sometime I have to say, yeah, say
La-la-la, la-la-la, uh-huh, yeah
La-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la, tell me
Help me mend my, my broken heart
I just wanna, I just wanna, I just wanna, I just wanna, I just wanna live again, baby
How can you mend, oh yeah, this broken man? Yeah, somebody tell me
How can a loser ever win? (Baby) 'Cause, baby
Help me mend my, this old broken heart
I think I, I know I, I believe I, I feel I
I feel like I got to, I feel like I wanna live again
How can you mend this broken heart? Somebody please tell me
How can you stop the rain from falling down?
I know my clothes are all wet, tell me
How can you mend my, please help me mend my broken heart
I think I, I believe I, I've got a feeling that I want to live and live and live

La-la-la-la-la-la-la-la-la-la-la-la-la-la
La-la-la
La, yeah9Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
3,Al Green,Tired of Being Alone,Tired of Being Alone by Al Green,,1971,,,51103,https://genius.com/Al-green-tired-of-being-alone-lyrics,0,1,1,"21 ContributorsTired of Being Alone Lyrics
Sweet baby

I'm so tired of being alone
I'm so tired of on-my-own
Won't you help me girl
Just as soon as you can

People say that I've found a way
To make you say that you love me
Hey baby, you didn't go for that
It's a natural fact
That I wanna come back
Show me where it's at, baby

I'm so tired of being alone
I'm so tired of on-my-own
Won't you help me girl
Soon as you can

I guess you know that I, uh, I love you so
Even though you don't want me no more
Hey hey hey hey, I'm cryin' tears
All through the years
I'll tell ya like it is
Honey, love me if you will
You might also like
Yeah baby
Tired of being alone here by myself, now
I tell ya, I'm tired baby
I'm tired of being all wrapped up late at night
In my dreams, nobody but you, baby
Sometimes I wonder (Oooooh)
If you love me like you say you do
You see baby, I been thinkin' about it, yeah
I been, I been wantin' to get next to you baby
Ya see, sometimes I hold my arms, I say mmmm hmmm hmmm (Oooh)
Yeah baby
Meeting you has proven to me
To be my greatest dream, yeah

Tired, baby
Yeah, you don't know what I'm talkin' about
Sometimes late at night I get to wonderin' about you baby
Oh baby, baby
I'm so tired of being alone
I'm so tired of being alone
I'm so tired of being alone…8Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
4,Al Green,Take Me to the River,Take Me to the River by Al Green,1974-10-02,1974,10,2,40948,https://genius.com/Al-green-take-me-to-the-river-lyrics,0,1,2,"7 ContributorsTake Me to the River Lyrics
I'd like to dedicate this song to little Junior Parker
A cousin of mine who's gone on, but we'd like to kinda carry on in his name
I sing

I don't know why I love you like I do
After all these changes that you put me through
You stole my money and my cigarettes
And I haven't seen hide nor hair of you yet

I wanna know, won't you tell me
Am I in love to stay?

Take me to the river and wash me down
Won't you cleanse my soul? Put my feet on the ground

I don't know why she treated me so bad
Look at all the things that we could have had
Love is a notion that I can't forget
My sweet sixteen I will never regret

I wanna know, won't you tell me
Am I in love to stay?
You might also like

Hold me, love me, please me, tease me
Till I can't, till I can't, can't take no more

Take me to the river

I don't know why I love you like I do
After all the things that you put me through
The sixteen candles are burning on my wall
Turning me into the biggest fool of them all

I wanna know, can't you tell me
Am I in love to stay?

I wanna know
Take me to the river
I wanna know
Want you to dip me in the water
I wanna know
Won't you wash me in the water?
Wash me in the water
Wash me in the water
Won't you wash me in the water?
Feeling good2Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
5,Al Green,I’m Still in Love with You,I’m Still in Love with You by Al Green,,1972,8,,25982,https://genius.com/Al-green-im-still-in-love-with-you-lyrics,0,1,3,"10 ContributorsI’m Still in Love with You Lyrics
Spending my day, thinking 'bout you, girl
Being here with you, being near with you
I can't explain myself
Why I feel like I do (Like I do)
Though it hurt me so to let you know
That I look in your eyes
To let me know how you feel
Let me know that love is really real
Well, it seems to me
That I'm wrapped up in your love

Don't you know that I'm still in love
(Still in love, in love with you)
Sho'nuff in love with you, yeah, hey
Heaven knows that I'm still in love
(Still in love, in love with you)
Sho'nuff in love with you, hey

Hey, when I look in your eyes
And all, all the years I see (I see)
Me lovin' you and you lovin' me
Well, it seems to me
That I'm wrapped up in your love
You might also like
Don't you know that I'm still in love
(Still in love, in love with you)
Sho'nuff in love with you
Hey, ah-ha, ah-ah-ah, ah-ha
Ah-ha
Don't you know that I'm still in love
(Still in love, in love with you)
Sho'nuff in love with you

Hey, I'll try it if you want me to
(Still in love, in love with you)
Ah-ha, ah-ha, ah, ah-ah-ah, ah-ha
Ah-ha3Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
6,Al Green,For the Good Times,For the Good Times by Al Green,1972-10-23,1972,10,23,20119,https://genius.com/Al-green-for-the-good-times-lyrics,0,1,1,"6 ContributorsFor the Good Times Lyrics
Don't look so sad, I know it's over
But life goes on and this world keeps on turning, yeah
Let's just be glad we had this time to spend together
There is no need to watch the bridges that we're burning

Lay your head (lay your head) upon my pillow, sweet baby
Hold your warm and tender body close to mine
Hear the whisper of the raindrops rolling softly
Against my window, yeah, oh, late at night
Make believe you love me one more time
For the good times
For the good times

I'll get along, and I'm sure you'll find another
But baby please remember
I'll be here (I'll be here), I'm gonna stay right here
If you should find you ever need me, yeah
Don't say a word about tomorrow or forever and ever and ever and ever
There'll be time enough for severance when you leave me, yeah
For the good times, yeah
For the good times

Lay your head (lay your head) upon my pillow
Oh, just this one time, girl, one time
Hold your warm and tender body close to mine, yeah, oh baby
Won't you hear the whisper, hear the whisper
Of the raindrops, of the raindrops, rolling softly, softly against my window
All you gotta do is make believe
All you gotta do is make believe you love me one more time
For the good times, yeah baby
For the good times
And here's what you oughta do is
Lay your head upon my pillow
I just wanna hold your warm and tender body close to mineYou might also like3Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
7,Al Green,Simply Beautiful,Simply Beautiful by Al Green,1972-10-23,1972,10,23,19885,https://genius.com/Al-green-simply-beautiful-lyrics,0,2,1,"10 ContributorsSimply Beautiful LyricsIf I gave you my love
I tell you what I'd do
I'd expect a whole lotta love outta you
You gotta be good to me
I'm gonna be good to you
There's a whole lotta things you and I
Could do
Hey hey
Hey hey hey
Simply beautiful simply beautiful simply
Beautiful
Simply beautiful simply beautiful simply
Beauti..
Simply beautiful
Simply beautiful
Simply beautiful
Simply beautiful
What about the way you love me
And the way you squeeze me
Hey
Hey simply beautiful hey
You might also likeAnd when you get right down it
And the love is getting you through it
Simply beautiful 4Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
8,Al Green,Dream,Dream by Al Green,,1977,,,12692,https://genius.com/Al-green-dream-lyrics,0,1,1,"4 ContributorsDream Lyrics
Dream that there will come a day
Dream that the Lord will make her wake
Dream, dream, dream
Wake up early and
Dream the stars down from the sky
Dream without knowing the reason why
Just dream, just dream, oh dream

What I wanna do is
Make it last forever
Make it last forever
Make it last forever
Make it last forever
Make it last forever
Make it last forever
Make it, make it, make it, make it, oh

Dream
Just dream
We can make it all come true
Let me say this one thing
You might also like
Dream, dream I'm the one that you know
Dream a new and different stroke
Just dream
Dream
(We can make it all come true)
I wanna know, I wanna
Take me with you

(Make it last forever)
Make it last forever
(Make it last forever)
Take me along with you
While you make it last forever
In a dream, you can make it
Oh, I wanna go with you
(Make it last forever)
Make it last forever
(Make it last forever)
I wanna, I wanna, I wanna
I wanna, I wanna

Dream
Just dream
We can make it all come true
Everybody likes to
Everybody wants to dream sometime
Dream, shh
Oh, dream, shh!
Dream, dream
(We can make it all come true)
Dream, dream, shh!
Wontcha dream?
Dream
The stars are shining bright
Dream
Let your mind and you heart
Just melt, melt, melt, melt like ice, ooh, ooh

Dream
Dream
Just dream
We can make it all come true

Dream
Don't take it, Lord
Just dream
We can make it all come true
Dream
Just dream
We can make it all come true
Dream, dream, dream
Dream
Just dream
We can make it all come true
Dream
Just dream1Embed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
9,Al Green,Everything’s Gonna Be Alright,Everything's Gonna Be Alright by Al Green,,1987,,,9985,https://genius.com/Al-green-everythings-gonna-be-alright-lyrics,0,2,2,"2 ContributorsEverything’s Gonna Be Alright Lyrics
Don't let this world mislead you
Don't you ever go astray
Trust in God's word and believe it 'cause it'll never pass away
We will see Him in his glory riding on the clouds of joy
Greeting us with open arms and peace forevermore

I know that everything is gonna be alright
He's coming back
Like He said He would
Yeah, yeah, it's gonna be alright
He's coming back
For the true and good

Now when the sky is darkened
There will be no moonlight
We'll know the time has finally come
And He'll change the wrong to right
So if you're always searching
Trying to find the bottom line
Just give your love and life to God
He'll give you a peace of mind

I know that everything gonna be alright
He's coming back
Like He said He would
I said yeah, yeah, it's gonna be alright
He's coming back
For the true and good
Play it
Everything is gonna be alright
He's coming back
Just like He said He would
Yeah, yeah, it's gonna be alright
He's coming back
For the true and good
You might also like
I wanna be ready, I gotta be ready
I wanna be ready, gotta be ready
For the peace, love and happiness
He's coming back like He said He would
Get ready for peace, love and happiness
He's coming back for the true and good

We know He's the beginning and we know that He is the end
There's no one better if you really need a friend
So don't you ever worry 'cause He gave the guarantee
That He'll return to take us home and fulfill the prophecy

I know that everything is gonna be alright
He's coming back, like He said He would
Get ready for peace, love and happiness
I know He's coming back just like He said he would
Peace and love and happiness
I know He's coming back for the true and good
Everything gonna be alright
He's coming back
Like He said He would
Yeah yeah, it's gonna be alright
He's coming back
For the true and goodEmbed",https://s3.amazonaws.com/rapgenius/algreen_wide-1859c7e02eb9c661302371127ea16d32559b63ea-s6-c10.jpg
