Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count,manual_love_word_percent,manual_money_word_percent,manual_violence_word_percent,manual_drugs_word_percent,manual_gendered_word_percent,manual_sadness_word_percent,manual_joy_word_percent,manual_yes_word_percent,manual_no_word_percent
Aaliyah,11.85,1.5,1.0,0.0,32.15,0.3,1.4,1.05,13.8,118.75,478.75,0.5,1.3,2.8,2.475,0.313,0.209,0.0,6.715,0.063,0.292,0.219,2.883
Beyoncé,9.6,1.35,0.4,0.0,47.85,2.65,0.45,0.8,8.75,151.35,496.1,0.3,2.85,6.35,1.935,0.272,0.081,0.0,9.645,0.534,0.091,0.161,1.764
Britney Spears,7.65,0.0,0.95,0.0,37.75,0.9,0.95,0.35,9.65,110.9,408.1,0.1,1.55,3.3,1.875,0.0,0.233,0.0,9.25,0.221,0.233,0.086,2.365
Carly Rae Jepsen,9.85,0.65,1.5,0.0,39.95,0.45,0.15,0.75,9.5,98.15,413.8,0.0,1.45,4.1,2.38,0.157,0.362,0.0,9.654,0.109,0.036,0.181,2.296
Charli XCX,10.1,0.9,0.15,0.05,34.7,1.15,0.8,0.4,8.15,132.35,551.15,0.95,1.85,5.2,1.833,0.163,0.027,0.009,6.296,0.209,0.145,0.073,1.479
Dua Lipa,6.65,0.6,0.2,0.25,33.45,1.35,0.2,0.95,12.5,100.6,387.35,0.05,2.1,4.2,1.717,0.155,0.052,0.065,8.636,0.349,0.052,0.245,3.227
Madonna,5.4,0.25,0.4,0.0,34.65,2.9,0.65,0.8,8.5,115.1,408.5,0.3,2.0,2.9,1.322,0.061,0.098,0.0,8.482,0.71,0.159,0.196,2.081
Michael Jackson,8.95,0.75,0.75,0.0,57.7,0.5,0.55,1.0,19.2,131.5,538.3,0.0,1.75,1.6,1.663,0.139,0.139,0.0,10.719,0.093,0.102,0.186,3.567
Olivia Rodrigo,3.3,0.2,0.9,0.15,34.2,1.2,1.8,0.75,8.2,132.1,342.45,0.0,1.45,2.3,0.964,0.058,0.263,0.044,9.987,0.35,0.526,0.219,2.395
Taylor Swift,5.15,0.45,1.65,0.0,38.75,0.35,0.95,0.9,8.8,154.05,437.1,0.15,2.15,2.55,1.178,0.103,0.377,0.0,8.865,0.08,0.217,0.206,2.013
