Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count
Black Sabbath,1.9,0.15,0.7,0.05,19.75,0.3,0.6,0.65,4.6,93.95,172.9,0.0,1.05,3.95
Deep Purple,2.6,0.35,0.55,0.1,26.1,0.05,0.75,0.5,6.75,80.7,194.6,0.0,1.2,4.2
Foo Fighters,1.45,0.0,0.35,0.0,32.75,0.3,0.65,0.65,6.45,78.3,275.8,0.0,1.5,3.8
Fugazi,0.0,0.5,1.05,0.0,19.5,0.15,0.05,0.6,6.9,70.6,185.75,0.0,1.75,1.15
Led Zeppelin,7.7,0.4,0.05,0.0,26.85,0.3,0.8,0.9,7.25,107.15,250.6,0.0,1.0,2.75
Nirvana,0.9,0.0,1.65,0.0,25.65,0.15,0.8,0.3,6.65,68.35,225.4,0.0,1.1,1.15
Queens of the Stone Age,1.7,0.15,0.2,0.65,17.25,0.05,0.35,0.45,5.15,92.6,199.95,0.25,2.65,3.05
The Rolling Stones,2.05,0.2,1.55,0.1,25.15,0.2,0.4,0.45,6.65,89.7,248.25,0.0,1.3,2.05
The Strokes,1.05,0.1,0.55,0.0,22.7,0.1,0.25,0.6,8.4,106.1,240.9,0.0,1.1,3.25
The White Stripes,2.75,0.35,0.5,0.0,34.85,0.25,0.55,0.35,8.25,108.25,258.25,0.05,1.0,1.15
