Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count,manual_love_word_percent,manual_money_word_percent,manual_violence_word_percent,manual_drugs_word_percent,manual_gendered_word_percent,manual_sadness_word_percent,manual_joy_word_percent,manual_yes_word_percent,manual_no_word_percent
Aaliyah,237,30,20,0,643,6,28,21,276,2375,9575,10,26,56,2.475,0.313,0.209,0.0,6.715,0.063,0.292,0.219,2.883
Beyoncé,192,27,8,0,957,53,9,16,175,3027,9922,6,57,127,1.935,0.272,0.081,0.0,9.645,0.534,0.091,0.161,1.764
Britney Spears,153,0,19,0,755,18,19,7,193,2218,8162,2,31,66,1.875,0.0,0.233,0.0,9.25,0.221,0.233,0.086,2.365
Carly Rae Jepsen,197,13,30,0,799,9,3,15,190,1963,8276,0,29,82,2.38,0.157,0.362,0.0,9.654,0.109,0.036,0.181,2.296
Charli XCX,202,18,3,1,694,23,16,8,163,2647,11023,19,37,104,1.833,0.163,0.027,0.009,6.296,0.209,0.145,0.073,1.479
Dua Lipa,133,12,4,5,669,27,4,19,250,2012,7747,1,42,84,1.717,0.155,0.052,0.065,8.636,0.349,0.052,0.245,3.227
Madonna,108,5,8,0,693,58,13,16,170,2302,8170,6,40,58,1.322,0.061,0.098,0.0,8.482,0.71,0.159,0.196,2.081
Michael Jackson,179,15,15,0,1154,10,11,20,384,2630,10766,0,35,32,1.663,0.139,0.139,0.0,10.719,0.093,0.102,0.186,3.567
Olivia Rodrigo,66,4,18,3,684,24,36,15,164,2642,6849,0,29,46,0.964,0.058,0.263,0.044,9.987,0.35,0.526,0.219,2.395
Taylor Swift,103,9,33,0,775,7,19,18,176,3081,8742,3,43,51,1.178,0.103,0.377,0.0,8.865,0.08,0.217,0.206,2.013
