Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count,manual_love_word_percent,manual_money_word_percent,manual_violence_word_percent,manual_drugs_word_percent,manual_gendered_word_percent,manual_sadness_word_percent,manual_joy_word_percent,manual_yes_word_percent,manual_no_word_percent
Al Green,212,1,1,0,452,6,21,15,98,1809,4932,0,24,36,4.298,0.02,0.02,0.0,9.165,0.122,0.426,0.304,1.987
Aretha Franklin,184,5,4,0,462,7,60,44,108,1754,6151,1,32,32,2.991,0.081,0.065,0.0,7.511,0.114,0.975,0.715,1.756
Clarence Carter,122,7,3,0,579,4,9,11,147,2213,5479,0,18,35,2.227,0.128,0.055,0.0,10.568,0.073,0.164,0.201,2.683
Curtis Mayfield,66,10,11,2,773,4,35,12,145,2541,6227,0,23,23,1.06,0.161,0.177,0.032,12.414,0.064,0.562,0.193,2.329
Marvin Gaye,289,7,1,0,583,4,19,13,139,2222,6406,0,23,41,4.511,0.109,0.016,0.0,9.101,0.062,0.297,0.203,2.17
Minnie Riperton,144,1,1,1,360,0,24,25,80,1529,4444,4,33,45,3.24,0.023,0.023,0.023,8.101,0.0,0.54,0.563,1.8
Nina Simone,69,3,5,0,416,5,9,11,116,1690,4400,0,20,34,1.568,0.068,0.114,0.0,9.455,0.114,0.205,0.25,2.636
Otis Redding,188,3,2,0,419,2,25,22,144,1623,4543,2,33,38,4.138,0.066,0.044,0.0,9.223,0.044,0.55,0.484,3.17
Sam Cooke,84,8,1,0,538,0,16,21,227,1427,4473,0,40,30,1.878,0.179,0.022,0.0,12.028,0.0,0.358,0.469,5.075
Stevie Wonder,266,7,4,0,666,13,72,38,177,2341,7301,2,25,28,3.643,0.096,0.055,0.0,9.122,0.178,0.986,0.52,2.424
