,Unnamed: 0,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image,vocab,love,money,violence,drugs,gendered,sadness,joy,yes,no,gender,genre
0,0,Aaliyah,Are You That Somebody?,Are You That Somebody? by Aaliyah (Ft. Timbaland),1998-05-26,1998.0,5.0,26.0,373960,https://genius.com/Aaliyah-are-you-that-somebody-lyrics,1,1,2,dirty south can y'all really feel me east coast feel me west coast feel me dirty south can y'all really feel me east coast feel me west coast feel me dirty south can y'all really feel me east coast feel me west coast feel me dirty south can y'all really feel me east coast feel me west coast feel me  boy i've been watching you like the hawk in the sky that flies but you were my prey my prey boy i promise you if we keep bumpin' heads i know that one of these days days we gon' hook it up prolly talk on the phone but see i don't know if that's good i've been holdin' back this secret from you i probably shouldn't tell it  but if i if i let you know you can't tell nobody i'm talkin' 'bout nobody are you responsible boy i gotta watch my back 'cause i'm not just anybody is it my go is it your go sometimes i'm goodygoody right now i'm naughtynaughty say yes or say no 'cause i really need somebody tell me are you that somebody you might also like boy won't you pick me up at the park right now up the block while everyone sleep sleep sleep i'll be waiting there with my trench my locs my hat just so i'm lowkey if you tell the world don't speak you know that would be weak oh boy see i'm trusting you with my heart my soul i probably shouldn't let you  but if i if i let this go you can't tell nobody i'm talkin' 'bout nobody i hope you're responsible boy i gotta watch my back 'cause i'm not just anybody is it my go is it your go sometimes i'm goodygoody right now i'm naughtynaughty say yes or say no 'cause i really need somebody tell me are you that somebody  baby girl i'm the man from the big va won't you come play round my way and listen to what i gotta say timbaland what don't you know i am the man rock shows here to japan have people shaking shaking my hand baby girl better known as aaliyah give me goosebumps and high fevers makin' playa haters believers don'tcha know gotta tell somebody cause 'cause i really need somebody what tell me you're that somebody say what if i let this go you can't tell nobody i'm talkin' 'bout nobody are you responsible boy i gotta watch my back 'cause i'm not just anybody is it my go is it your go sometimes i'm goodygoody right now i'm naughtynaughty say yes or say no 'cause i really need somebody tell me are you that somebody  you can't tell nobody i'm talkin' 'bout nobody i hope you're responsible boy i gotta watch my back 'cause i'm not just anybody is it my go is it your go sometimes i'm goodygoody right now i'm naughtynaughty say yes or say no 'cause i really need somebody tell me are you that somebody  is it my go is it your go sometimes i'm goodygoody right now i'm bout naughty naughty 'cause i really need somebody tell me are you that somebody44,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,156,3,0,2,0,28,1,2,4,29,female,pop
1,1,Aaliyah,Enough Said,Enough Said by Aaliyah (Ft. Drake),2012-08-05,2012.0,8.0,5.0,316333,https://genius.com/Aaliyah-enough-said-lyrics,1,1,3,64 contributorsenough said lyrics uh 'cause i y'all aren't ready for this ooh oh yeahyeahyeahyeahyeahyeahyeah yo what's up yeahyeahyeahyeahyeahyeahyeah yo what's up  i can tell there's something wrong with you tell me do you wanna talk about it talk about it you say you got a lot on your mind sit down let's talk about it talk about it i hate to see you feel this way so tell me what can i do to make it better for you make it better for you babe hey  yeahyeahyeahyeahyeahyeahyeah yeahyeahyeahyeahyeahyeahyeah yo what's up yeahyeahyeahyeahyeahyeahyeah yo what's up yeahyeahyeahyeahyeahyeahyeah yo what's up you might also like baby tell me what i gotta do to get you to talk about it 'cause we've been together a little too long for you not to talk about it oh so tell me what you would like me to do to help you help me help you 'cause i don't really want to tell without you  yeahyeahyeahyeahyeahyeahyeah tell my why yeahyeahyeahyeahyeahyeahyeah what's up yeahyeahyeahyeahyeahyeahyeah ooh what's up yeahyeahyeahyeahyeahyeahyeah  went from my nigga serving it by the tele to venues in manchester just swerving with balotelli the fuck are you trying to tell me bothers me when you got to play therapist that shit's embarrassing they even bring up these niggas make a comparison they just got to forgive me this watch is a 150 still ain't got the time for a bitch to be acting iffy running through the city with niggas i'd give a kidney selling under 150 you niggas got to be kidding is this even still a discussion don't you ever wake up disgusted every million i gain an enemy or a cousin and people's feelings have changed ever since i became something girls that becoming ladies and my friends are having babies and babies are dropping dead in my city this shit is crazy and i don't know if speaking on it helps this is shit that's on my mind i just keep it to myself you know can't you talk to me let's talk about it talk about it tell me what you need just tell me baby tell me baby yo what's up sometimes you are all alone need your love need your love but there's no doubt all the love so don't just shut me out 'cause that's not what love's about tell me why  yeahyeahyeahyeahyeahyeahyeah yeah yeahyeahyeahyeahyeahyeahyeah no i can't came too far to give up gotta try 'cause i can't do it on my own ooh oh what's up  can you talk to me can you talk to me tell me what you need tell me what you need can you talk to me can you talk to me tell me what you need tell me what you need28embed,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,175,7,0,0,0,27,1,0,0,7,female,pop
2,2,Aaliyah,At Your Best (You Are Love),At Your Best (You Are Love) by Aaliyah,1994-08-22,1994.0,8.0,22.0,285549,https://genius.com/Aaliyah-at-your-best-you-are-love-lyrics,0,1,6,57 contributorsat your best you are love lyrics let me know let me know haah haaaah let me know let me know let me know  when i feel what i feel sometimes it's hard to tell you so you may not be in the mood to learn what you think you know there are times when i'll find you wanna keep yourself from me when i don't have the strength i'm just a mirror of what i see yeah  but at your best you are love yes you're a positive motivating force within my life should you ever feel the need to wonder why let me know let me know let me know let me know let me yeah  when you feel what you feel oh how hard for me to understand so many things have taken place before this love affair began but if you feel oh like i feel confusion can give way to doubt for there are times when i fall short of what i say i'm all about all about you might also like but at your best you are love yes you're a positive motivating force within my life should you ever feel the need to wonder why let me know let me know let me know let me know  tell me what it is tell me what it is there's no need to make believe make believe no need to make believe look beyond your own look beyond your own try to find a place for me try and find find a place for me 'cause  at your best you are love you're a positive motivating force within my life should you ever feel the need to wonder why let me know let me know  let me know let me know let me know oh see stay at your best baby39embed,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,104,6,0,0,0,17,0,3,2,22,female,pop
3,3,Aaliyah,Miss You,Miss You by Aaliyah,2002-11-16,2002.0,11.0,16.0,245608,https://genius.com/Aaliyah-miss-you-lyrics,0,1,3,36 contributorsmiss you lyrics oh hey yeahyeahyeah nononononono  it's been too long and i'm lost without you what am i gonna do said i've been needing you said i'm needing you wanting you wondering if you're the same and who's been with you is your heart still mine i wanna cry sometimes i miss you  off to college yes you went away straight from high school you up and left me we were close friends also lovers did everything for one another now you're gone and i'm lost without you here now but i know i gotta live and make it somehow come back to me can you feel me calling hear me calling for you for you 'cause it's  it's been too long and i'm lost without you what am i gonna do said i've been needing you wanting you wondering if you're the same and who's been with you is your heart still mine i wanna cry sometimes i miss you you might also like now i'm sitting here thinking 'bout you and the days we used to share it's driving me crazy i don't know what to do i'm just wondering if you still care i don't wanna let you know that it's killing me i know you got another life you gotta concentrate baby come back to me can you feel me calling hear me calling for you for you 'cause it's  it's been too long and i'm lost without you what am i gonna do said i been needing you wanting you wondering if you're the same and who's been with you is your heart still mine i wanna cry sometimes i miss you it's been too long and i'm lost without you what am i gonna do i've been needing you wanting you wondering if you're the same and who's been with you is your heart still mine i wanna cry sometimes yeah i miss you  iiiiii iiiiii i miss you iiiii iiiii i can't be no more no since you went away i don't really feel like talking no no one here to love me no baby do you understand me i can't do a thing without you it's been too long and i'm lost without you tell what i'm gonna do said i've been needing you yeah wanting you wondering if you're the same and who's been with you is your heart still mine i wanna cry sometimes yeah i miss you baby it's been too long and i'm lost without you what am i gonna do said i've been needing you wanting you wondering if you're the same and who's been with you is your heart still mine i wanna cry sometimes i miss you it's been too long and i'm lost without you what am i gonna do said i've been needing you wanting you wondering if you're the same and who's been with you is your heart still mine i wanna cry sometimes i miss you26embed,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,118,13,0,1,0,28,0,8,1,20,female,pop
4,4,Aaliyah,Age Ain’t Nothing But a Number,Age Ain't Nothing But a Number by Aaliyah,1994-12-06,1994.0,12.0,6.0,207419,https://genius.com/Aaliyah-age-aint-nothing-but-a-number-lyrics,0,1,1,54 contributorsage ain’t nothing but a number lyrics may fifth 1993 aaliyah's diary got it  age ain't nothin' but a number throwin' down ain't nothin' but a thing this lovin' i have for you it'll never change age ain't nothin' but a number throwin' down ain't nothin' but a thing this lovin' i have for you it'll never change  here i am and there you are your eyes are callin' me to your heart all you gotta do is knock and i'll let you in then we will feel the passion that flows within  i don't mean to be bold but i gotta let you know i got a thing for you and i can't let go ooh my you might also like age ain't nothin' but a number throwin' down ain't nothin' but a thing this lovin' i have for you it'll never change my age ain't age ain't nothin' but a number throwin' down ain't nothin' but a thing but a thing this lovin' i have for you it'll never change  take my hand and come with me and let me show you true ecstasy boy be brave don't be afraid 'cause tonight we're gonna go all the way  don't mean to be bold gotta let you know i got a thing for you and i can't let go ooh my  age ain't nothin' but a number no throwin' down ain't nothin' but a thing this lovin' i have for you it'll never change my age age ain't nothin' but a number ain't nothin' but a number throwin' down ain't nothin' but a thing and this thing this lovin' i have for you it'll never change oh no so what's up here i am reach baby come here age ain't nothin' but a number  ooh i don't mean to be bold but i gotta let you know aaliyah's got a thing for you and i can't let go my  age ain't nothin' but a number nothin' but a number throwin' down ain't nothin' but a thing nothin' but a thing this lovin' i have for you it'll never change it'll never change age ain't nothin' but a number it ain't nothin' but a number throwin' down ain't nothin' but a thing it ain't nothin' but a thing this lovin' i have for you no it'll never change it'll never change age ain't nothin' but a number my age throwin' down ain't nothin' but a thing ain't nothin' but a thing this lovin' i have for you oh it'll never change will never change age ain't nothin' but a number age ain't nothin' throwin' down ain't nothin' but a thing throwin' down ain't nothin' this lovin' i have for you lovin' i have for it'll never change it will never age ain't nothin' but a number see boy i know just what you need throwin' down ain't nothin' but a thing this lovin' i have for you it'll never change this love we have was meant to be age ain't nothin' but a number that's why i got to let you know17embed,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,102,3,0,0,0,14,0,0,1,42,female,pop
5,5,Aaliyah,One In A Million,One In A Million by Aaliyah,1996-08-27,1996.0,8.0,27.0,199520,https://genius.com/Aaliyah-one-in-a-million-lyrics,0,1,2,43 contributorsone in a million lyrics love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby  baby you don't know what you do to me between me and you i feel a chemistry i won't let no one come and take your place 'cause the love you give it can't be replaced see no one else love me like you do that's why i don't mind to spend my life with you i wanna please you in anyway i can i wanna share my world don't you understand  your love is a one in a million it goes on and on and on you give me a really good feelin' all day long your love is a one in a million it goes on and on and on you give me a really good feelin' all day long  turn me inside out make my heart speak need no one else you're all i need personality and everything you do makes me love everything about you your smile your style is so fly i can't deny i got a crush on you and that is true indeed and i'm diggin' you you make me believe you might also like that your love is a one in a million it goes on and on and on you give me a really good feelin' all day long your love is a one in a million it goes on and on and on you give me a really good feelin' all day long  i'll give you anything you want from me anything you want anything you need anything your soul desires oh i'll give you anything you want from me anything you want anything you need anything your soul desires anything 'cause  your love is a one in a million it goes on and on and on you give me a really good feelin' all day long your love is a one in a million it goes on and on and on you give me a really good feelin' all day long  your love is a one in a million it goes on and on and on you give me a really good feelin' all day long your love is a one in a million it goes on and on and on you give me a really good feelin' all day long baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby love it baby39embed,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,96,86,0,0,0,3,0,1,0,5,female,pop
6,6,Aaliyah,Rock the Boat,Rock the Boat by Aaliyah,2001-07-17,2001.0,7.0,17.0,193558,https://genius.com/Aaliyah-rock-the-boat-lyrics,0,2,3,66 contributorsrock the boat lyrics mmm yeah hmm huhuh hmm mmm yeah  boy you know you make me float boy you really get me high ooh i feel like i'm on dope 'cause you you serve me on a regular you serve me on a regular boy you need to tie this rope oh before we drift any deeper before we drift any deeper baby now hold me close let's take this overboard now  i want you to rock the boat rock the boat mmm rock the boat rock the boat yeah work it in the middle work the middle work the middle work the middle change positions on me new position oh new position now stroke it baby stroke it for me yeah stroke it for me stroke it for me  ooh baby i love your stroke 'cause you 'cause you get me where i'm going 'cause you get me where i'm going yeah and truly you'll get my vote 'cause i believe i believe you know just what you're doing now baby now we can coast let's coast let's coast let's don't get in a hurry oh no that's too slow hey go 'head and put that thing in overdrive you might also like i want you to rock the boat rock the boat ooh rock the boat rock the boat hey work it in the middle work the middle work it babe work it baby work the middle work the middle change positions on me new position oh new position now stroke it baby stroke it for me stroke it for me stroke it for me i want you to rock the boat rock the boat rock the boat rock the boat hey work it in the middle work the middle work the middle ooh work the middle hey change positions on me new position ooh new position now stroke it baby stroke it for me yeah stroke it for me stroke it for me  stroke it for me mmm stroke it baby stroke it baby mmm work it baby work it baby oh stroke it there is something i want you to do for me i want you to use yourself hey like you've never ever used to do before never to explore my body explore it baby until you reach the shore yeah i'll be calling calling for more calling rock the boat rock the boat oh rock the boat rock the boat work it in the middle mmm work it baby work it baby work the middle work the middle change positions on me mmm change new position new position hey now stroke it for me stroke it for me baby stroke it for me stroke it for me i want you to rock the boat rock the boat ooh rock the boat rock the boat work it in the middle work the middle mmm work it yeah work the middle work the middle change positions on me new position new position change now stroke it for me stroke it for me yeah stroke it for me stroke it for me rock the boat rock the boat rock the boat rock the boat work the middle work the middle work the middle work the middle change positions on me new position new position stroke it for me stroke it for me stroke it for me stroke it for me rock the boat rock the boat rock the boat rock the boat29embed,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,111,16,0,0,0,69,0,0,0,12,female,pop
7,7,Aaliyah,Try Again,Try Again by Aaliyah,2000-02-22,2000.0,2.0,22.0,187369,https://genius.com/Aaliyah-try-again-lyrics,0,1,2,51 contributorstry again lyrics it's been a long time long time we shouldn't have left you left you without a dope beat to step to step to step to step to step step to step to freakyfreaky it's been a long time time we shouldn't have left you left you without a dope beat to step to step to step to step to step step to freakyfreakyfreaky baby girl uh  what would you do to get to me what would you say to have your way would you give up or try again if i hesitate to let you in now would you be yourself or play a role tell all the boys or keep it low if i say no would you turn away or play me off or would you stay oh  and if at first you don't succeed oh then dust yourself off and try again you can dust it off and try again try again 'cause if at first you don't succeed you can dust it off and try again dust yourself off and try again try again again again you might also like i'm into you you into me but i can't let it go so easily not 'til i see what this could be could be eternity or just a week but yo our chemistry is off the chain it's perfect now but will it change this ain't a yes this ain't a no just do your thing we'll see how we go  and if at first you don't succeed oh yeah then dust yourself off and try again again you can dust it off and try again try again yeah 'cause if at first you don't succeed ooh you can dust it off and try again try again dust yourself off and try again yeah try again again again  so you don't wanna throw it all away i might be shy on the first date what about the next date huh huh huh huh huh huh huh oh i said you don't wanna throw it all away away i might be buggin' on the first date what about the next date date huh huh huh huh huh huh huh oh and if at first you don't succeed then dust yourself off and try again you can dust it off and try again try again 'cause if at first you don't succeed you can dust it off and try again dust yourself off and try again try again again again   and if at first you don't succeed uh yeah then dust yourself off uh and try again you can you can dust it off and try again try again again 'cause if at first you don't succeed ooh you can dust it off and try again again dust yourself off and try again yeah try again again again and if at first you don't succeed no then dust yourself off and try again yeah you can dust it off and try again try again yeah 'cause if at first you don't succeed baby you can dust it off hey and try again yeah dust yourself off and try again try again again again it's been a long time time we shouldn't have left you left you without a dope beat to step to step to step to step to step step to step to step to freaky it's been a long time time we shouldn't have left you left you without a dope beat to step to step to step to step to step to step to step to freakyfreaky  and if at first you don't succeed then dust yourself off and try again you can dust it off and try again try again 'cause if at first you don't succeed you can dust it off and try again dust yourself off and try again try again again again  it's been a long time time we shouldn't have left you left you without a dope beat to step to step to step to step to what step to step to freakyfreaky whoa it's been a long time time we shouldn't have left you left you without a dope beat to step to step to step to step to what step to step to freakyfreaky we out one mo' again the new millennium baby and we out you guess who it is23embed,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,122,3,0,0,0,18,0,0,1,6,female,pop
8,8,Aaliyah,More Than a Woman,More Than a Woman by Aaliyah,2001-07-17,2001.0,7.0,17.0,132060,https://genius.com/Aaliyah-more-than-a-woman-lyrics,0,1,2,passion instant sweat beads feel me cupid's shot me my heartbeat's racin' tempt me tempt me try me try me feels so exciting thought of highly it's yours entirely  i'll be i'll be more than a lover more than a woman more than your other i'll be i'll be more than a lover more than a woman more than enough for you i'll be i'll i'll be more than a lover more than a woman even more under covers i'll be more i'll be more than a lover more than a woman more than enough for you  midnight grindin' heart rate's climbin' you go you go i go cause we share we share pillows pillows chase me leave me there's still no separatin' mornin' massages with new bones in your closet you might also like i'll be i'll be more than a lover more than a woman more than your other i said i'll be i'll be more than a lover more than a woman more than enough for you i'll be more i'll i'll be more than a lover more more than a woman even more under covers i'm gonna be more i'll be more than a lover yeah more than a woman more than enough for you  i don't think you're ready i don't think you're ready for this thing for this thing i don't think you're ready for this thing you're not ready no no i don't think you're ready for this thing this thing this thing i don't think you're ready for this thing  constant pleasures no scale can measure secrets treasures keeps on gettin' better yeah do you wanna roll with me we can go to foreign lands with your hand in my hand do you wanna ride with me we can be like bonnie and clyde be by your side i'll be more than a lover more than a woman more than your other i'll be more than a lover more than a woman more than enough for you i'll i'll be more than a lover more than a woman even more under covers i'll be more than a lover more than a woman more than enough for you25,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,100,26,0,1,0,34,0,0,3,11,female,pop
9,9,Aaliyah,I Don’t Wanna,I Don't Wanna by Aaliyah,1999-12-14,1999.0,12.0,14.0,101406,https://genius.com/Aaliyah-i-dont-wanna-lyrics,0,2,4,22 contributorsi don’t wanna lyrics ooh yeahyeahyeah ohoh ohyeahyeah  i don't wanna be be without you be without you i don't wanna live live without you live without you i don't wanna go go without you go without you i don't wanna be alone  when we hooked up we sat down made an agreement we vowed that that we'd always be together through whatever we said that no one would ever get between us this love would never ever leave us that was awhile ago but now lately it feels like i mean i feel like all we do is fight every single night can't make it tight can't get it right i just wanna go back and take it way back all the way back can we start again do it over can we straighten it out can we work it out you might also like 'cause i don't wanna be be without you be without you i don't wanna live live without you live without you i don't wanna go go without you go without you see sugar i don't wanna be alone i don't wanna be be without you be without you i don't wanna live live without you live without you i don't wanna go go without you go without you sugar i don't wanna be alone  do you realize i can't sleep without you think without you eat without you speak without you be without you i can't even breathe without you i can't feel without you deal without you spend without you my whole world is upside down don't wanna go out 'cause i can't ride without you feel like i'm gon' die without you what is a girl supposed to do when i spend my last dime to be in your life i don't wanna be without you i don't wanna be be without you be without you said i can't live live without you live without you i can't go go without you go without you said i don't wanna be alone said i can't be be without you be without you said i can't live live without you live without you i don't wanna go go without you go without you said i don't wanna be alone  how can this be that it's not workin' out that it's not workin' out we vowed to be always together yeah it's hurtin' me that we don't talk no more it wasn't supposed to be this way where did we go wrong we both made mistakes we gotta carry on  i don't wanna be be without you be without you i don't wanna live live without you live without you i don't wanna go go without you go without you i don't wanna be alone i don't wanna be hear me be without you be without you i don't wanna live live without you live without you i don't wanna go go without you go without you i don't wanna be alone i don't wanna be be without you be without you i don't wanna live live without you live without you i don't wanna go go without you go without you i don't wanna be alone yeah baby  i don't wanna be be without you be without you i don't wanna live do you hear me live without you live without you i don't wanna go baby are you listening go without you go without you i don't wanna be alone what you do to me what you do to me  mmm don't wanna be oh yeah3embed,https://images.genius.com/3fea34947a97beb226fce2a75eb0433a.1000x1000x1.jpg,137,3,0,0,0,13,1,0,1,5,female,pop
