,Unnamed: 0,Artist,Song Title,Full Title,Release Date,Year,Month,Day,Pageviews,url,featured_count,producer_count,writer_count,Song Lyrics,Artist Image,vocab,love,money,violence,drugs,gendered,sadness,joy,yes,no,gender
0,0,Black Sabbath,Paranoid,Paranoid by Black Sabbath,1970-09-18,1970,9,18.0,636449,https://genius.com/Black-sabbath-paranoid-lyrics,0,1,4,finished with my woman 'cause she couldn't help me with my mind people think i'm insane because i am frowning all the time  all day long i think of things but nothing seems to satisfy think i'll lose my mind if i don't find something to pacify  can you help me occupy my brain oh yeah  i need someone to show me the things in life that i can't find i can't see the things that make true happiness i must be blind  you might also like make a joke and i will sigh and you will laugh and i will cry happiness i cannot feel and love to me is so unreal  and so as you hear these words telling you now of my state i tell you to enjoy life i wish i could but it's too late54,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,87,1,0,0,0,13,0,2,0,3,male
1,1,Black Sabbath,Iron Man,Iron Man by Black Sabbath,1970-09-18,1970,9,18.0,540323,https://genius.com/Black-sabbath-iron-man-lyrics,0,1,4,101 contributorsiron man lyrics i am iron man  has he lost his mind can he see or is he blind can he walk at all or if he moves will he fall  is he alive or dead has he thoughts within his head we'll just pass him there why should we even care   he was turned to steel in the great magnetic field when he travelled time for the future of mankind  nobody wants him he just stares at the world planning his vengeance that he will soon unfurl you might also like  now the time is here for iron man to spread fear vengeance from the grave kills the people he once saved  nobody wants him they just turn their heads nobody helps him now he has his revenge  heavy boots of lead fills his victims full of dread running as fast as they can iron man lives again 61embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,97,0,0,3,0,41,0,0,0,5,male
2,2,Black Sabbath,War Pigs,War Pigs by Black Sabbath,1970-09-18,1970,9,18.0,432582,https://genius.com/Black-sabbath-war-pigs-lyrics,0,1,4,generals gathered in their masses just like witches at black masses evil minds that plot destruction sorcerer of death's construction in the fields the bodies burning as the war machine keeps turning death and hatred to mankind poisoning their brainwashed minds  oh lord yeah  politicians hide themselves away they only started the war why should they go out to fight they leave that all to the poor yeah time will tell on their power minds making war just for fun treating people just like pawns in chess wait till their judgment day comes yeah you might also like now in darkness world stops turning ashes where their bodies burning no more war pigs have the power hand of god has struck the hour day of judgment god is calling on their knees the war pigs crawling begging mercies for their sins satan laughing spreads his wings  oh lord yeah 55,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,101,0,0,0,0,30,0,1,0,2,male
3,3,Black Sabbath,N.I.B.,N.I.B. by Black Sabbath,1970-02-13,1970,2,13.0,206571,https://genius.com/Black-sabbath-nib-lyrics,0,1,4,56 contributorsnib lyrics  oh yeah some people say my love cannot be true please believe me my love and i'll show you i will give you those things you thought unreal the sun the moon the stars all bear my seal  oh yeah follow me now and you will not regret leaving the life you led before we met you are the first to have this love of mine forever with me till the end of time  your love for me has just got to be real before you know the way i'm going to feel i'm going to feel i'm going to feel  oh yeah now i have you with me under my power our love grows stronger now with every hour look into my eyes you'll see who i am my name is lucifer please take my hand you might also like  oh yeah follow me now and you will not regret leaving the life you led before we met you are the first to have this love of mine forever with me till the end of time  your love for me has just got to be real before you know the way i'm going to feel i'm going to feel i'm going to feel  oh yeah now i have you with me under my power our love grows stronger now with every hour look into my eyes you'll see who i am my name is lucifer please take my hand25embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,90,8,0,0,0,11,0,0,2,11,male
4,4,Black Sabbath,Black Sabbath,Black Sabbath by Black Sabbath,1970-02-13,1970,2,13.0,201318,https://genius.com/Black-sabbath-black-sabbath-lyrics,0,1,4,what is this that stands before me figure in black which points at me turn 'round quick and start to run find out i'm the chosen one oh no  big black shape with eyes of fire tellin' people their desire satan's sittin' there he's smilin' watches those flames get higher and higher oh no no please god help me  is it the end my friend satan's comin' 'round the bend people runnin' 'cause they're scared the people better go and beware no no please no you might also like20,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,68,0,0,0,0,15,0,0,1,6,male
5,5,Black Sabbath,Heaven and Hell,Heaven and Hell by Black Sabbath,1980-04-21,1980,4,21.0,178085,https://genius.com/Black-sabbath-heaven-and-hell-lyrics,0,1,4,sing me a song you're a singer do me a wrong you're a bringer of evil the devil is never a maker the less that you give you're a taker  so it's on and on and on it's heaven and hell oh well yeah  the lover of life's not a sinner the ending is just a beginner the closer you get to the meaning the sooner you'll know that you're dreaming  so it's on and on and on oh it's on and on and on it goes on and on and on heaven and hell i can tell fool fool you might also like ohoh oh oohooh ooh yeahyeah yeah  well if it seems to be real it's illusion for every moment of truth there's confusion in life love can be seen as the answer but nobody bleeds for the dancer  and it's on and on on and on and on and on and on and on and on and on   they say that life's a carousel spinning fast you gotta ride it well the world is full of kings and queens who blind your eyes and steal your dreams it's heaven and hell oh well and they'll tell you black is really white the moon is just the sun at night and when you walk in golden halls you get to keep the gold that falls it's heaven and hell oh no fool fool you've got to bleed for the dancer fool fool look for the answer fool fool fool 25,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,117,3,2,1,0,28,0,0,1,4,male
6,6,Black Sabbath,Changes,Changes by Black Sabbath,1972-09-25,1972,9,25.0,168313,https://genius.com/Black-sabbath-changes-lyrics,0,2,4,30 contributorschanges lyrics i feel unhappy i feel so sad i've lost the best friend that i ever had she was my woman i loved her so but it's too late now i've let her go  i'm going through changes i'm going through changes  we shared the years we shared each day in love together we found the way but soon the world had its evil way my heart was blinded love went astray  i'm going through changes i'm going through changes  it took so long to realise and i can still hear her last goodbyes now all my days are filled with tears wish i could go back and change these years you might also like i'm going through changes i'm going through changes19embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,78,4,0,0,0,19,1,1,1,2,male
7,7,Black Sabbath,Planet Caravan,Planet Caravan by Black Sabbath,1970-09-18,1970,9,18.0,134224,https://genius.com/Black-sabbath-planet-caravan-lyrics,0,1,4,46 contributorsplanet caravan lyrics we sail through endless skies stars shine like eyes the black night sighs the moon in silver dreams pours down in beams light of the night the earth a purple blaze of sapphire haze in orbit always  while down below the trees bathed in cool breeze silver starlight breaks dawn from night and so we pass on by the crimson eye of great god mars as we travel the universe you might also like21embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,61,0,0,0,0,8,0,0,1,0,male
8,8,Black Sabbath,Sabbath Bloody Sabbath,Sabbath Bloody Sabbath by Black Sabbath,1973-12-01,1973,12,1.0,91146,https://genius.com/Black-sabbath-sabbath-bloody-sabbath-lyrics,0,1,4,39 contributorssabbath bloody sabbath lyrics you've seen right through distorted eyes you know you had to learn the execution of your mind you really had to turn the race is run the book is read the end begins to show the truth is out the lies are old but you don't want to know  nobody will ever let you know when you ask the reasons why they just tell you that you're on your own fill your head all full of lies  the people who have crippled you you wanna see them burn the gates of life have closed on you and there's just no return you're wishing that the hands of doom could take your mind away and you don't care if you don't see again the light of day  nobody will ever let you know when you ask the reasons why they just tell you that you're on your own fill your head all full of lies you bastards  you might also like where can you run to what more can you do no more tomorrow life is killing you dreams turn to nightmares heaven turns to hell burnt out confusion nothing more to tell yeah everything around you what's it coming to god knows as your dog nose bog blast all of you sabbath bloody sabbath nothing more to do living just for dying dying just for you yeah11embed,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,120,0,0,1,0,25,0,0,1,12,male
9,9,Black Sabbath,Sweet Leaf,Sweet Leaf by Black Sabbath,1971-07-21,1971,7,21.0,88112,https://genius.com/Black-sabbath-sweet-leaf-lyrics,0,1,4,*coughing*  alright now won't you listen when i first met you didn't realise i can't forget you or your surprise you introduced me to my mind and left me wanting you and your kind oh yeah  i love you oh you know it my life was empty forever on a down until you took me showed me around my life is free now my life is clear i love you sweet leaf though you can't hear oh yeah   come on now try it out straight people don't know what you're about they put you down and shut you out you gave to me a new belief and soon the world will love you sweet leaf oh yeah baby you might also like come on now oh yeah try me out baby alright oh yeahah i want you part of this sweet leaf oh yeah alright yeah yeah yeah ohoh try me out i love you sweet leaf oh8,https://images.genius.com/46514480a048fb777f012318a43be54f.1000x1000x1.jpg,79,6,0,0,0,4,0,0,0,6,male
